"2000 AB 3.9 A3 CAL
AB - VAN/WAGON - FULL SIZE","PCM","05018488AA
56040347AB
56040347AC
56040347AD
56040347AE","56040347AF","08-39-99
18-006-03
21-20-99","RC-8592-00"
"2000 AB 3.9 A3 FED
AB - VAN/WAGON - FULL SIZE","PCM","05018488AA
56040346AB
56040346AC
56040346AD
56040346AE","56040346AF","08-39-99
18-006-03
21-20-99","RC-8591-00"
"2000 AB 5.2L A4 CAL
AB - VAN/WAGON - FULL SIZE","PCM","05018488AA
56040391AB
56040391AC
56040391AD
56040391AE","56040391AF","08-39-99
18-006-03
21-01-00
21-20-99","RC-8592-00"
"2000 AB 5.2L A4 CNG
AB - VAN/WAGON - FULL SIZE","PCM","56040397AB","56040397AC","08-39-99
21-01-00
21-20-99",""
"2000 AB 5.2L A4 FED
AB - VAN/WAGON - FULL SIZE","PCM","05018488AA
56040389AB
56040389AC
56040389AD
56040389AE","56040389AF","08-39-99
18-006-03
21-01-00
21-20-99","RC-8591-00"
"2000 AB 5.2L A4 LPG
AB - VAN/WAGON - FULL SIZE","PCM","56040398AB","56040398AC","08-39-99
21-01-00
21-20-99",""
"2000 AB 5.9L A4 CAL
AB - VAN/WAGON - FULL SIZE","PCM","05018488AA
56040404AB
56040404AC
56040404AD
56040404AE","56040404AF","08-39-99
18-006-03
21-01-00
21-20-99","RC-8592-00"
"2000 AB 5.9L A4 FED
AB - VAN/WAGON - FULL SIZE","PCM","05018488AA
56040403AB
56040403AC
56040403AD
56040403AE","56040403AF","08-39-99
18-006-03
21-01-00
21-20-99","RC-8591-00"
"2000 AN 2.5L M5 CAL AN - DAKOTA","PCM","05018488AA
56040340AB
56040340AC
56040340AD
56040340AE","56040340AF","08-39-99
18-001-02","RC-8592-00"
"2000 AN 2.5L M5 FED AN - DAKOTA","PCM","05018488AA
56040339AB
56040339AC
56040339AD
56040339AE","56040339AF","08-39-99
18-001-02","RC-8591-00"
"2000 AN 3.9L A4 50S CAN AN - DAKOTA","PCM","05018488AA
56040348AB
56040348AC
56040348AD
56040348AE
56040348AF","56040348AG","08-09-00
08-39-99
18-006-03
18-009-02 REV A
21-20-99","RC-8591-00"
"2000 AN 3.9L M5 50S CAN AN - DAKOTA","PCM","05018488AA
56040344AB
56040344AC
56040344AD
56040344AE","56040344AF","08-39-99
18-006-03","RC-8591-00"
"2000 AN 4.7L A4 4X4 CAL AN - DAKOTA","PCM","05018491AA
56040360AB
56040360AC
56040360AD
56040360AE
56040360AF
56040360AG","56040360AH","08-39-99
18-001-01
21-20-99","RC-850-00"
"2000 AN 4.7L A4 4X4 FED AN - DAKOTA","PCM","05018491AA
56040359AB
56040359AC
56040359AD
56040359AE
56040359AF
56040359AG","56040359AH","08-39-99
18-001-01
21-20-99","RC-850-00
RC-8591-00"
"2000 AN 4.7L A4 CAL 131 WB AN - DAKOTA","PCM","05018491AA
56040430AB
56040430AC
56040430AD
56040430AE
56040430AF
56040430AG","56040430AH","08-39-99
18-001-01
21-20-99","RC-850-00"
"2000 AN 4.7L A4 CAL AN - DAKOTA","PCM","05018491AA
56040358AB
56040358AC
56040358AD
56040358AE
56040358AF
56040358AG","56040358AH","08-39-99
18-001-01
21-20-99","RC-850-00"
